"","title","company","location","rating","province","pay","job"
"379","Analyst, Provincial Diagnostic Network","Ontario Health","Ontario",4.3,"IO",NA,"Data Analyst"
"380","Data and Research Analyst","YouthLink","Toronto, ON",4.1,"ON",56213,"Data Analyst"
"381","newdatabase analyst","Click Studio","North Vancouver, BC",NA,"BC",70300,"Data Analyst"
"382","Data Governance Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"383","Data Analyst Full-time","Manitoba Agricultural Services Corporation","Manitoba",NA,"BA",76097,"Data Analyst"
"384","Data Analyst - Reporting","Score Media and Gaming Inc.","remote",NA,"remote",NA,"Data Analyst"
"385","Data Analyst - Land","Fugro","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"386","newV13 Policetech Accelerator Analyst Intern","Northumberland Community Futures Development Corp.","remote",NA,"remote",60125,"Data Analyst"
"387","Inbound Logistics Analyst (Contract Position)","New Balance","remote",3.9,"remote",NA,"Data Analyst"
"388","newData Analyst","Copperstone Connect","remote",NA,"remote",NA,"Data Analyst"
"389","Data Analyst","Walker Environmental","Woodbridge, ON",4,"ON",NA,"Data Analyst"
"390","Data Analyst","SYNNEX Corporation","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"391","newDatabase Administrator and Data Analyst","KEV Group","remote",3.6,"remote",NA,"Data Analyst"
"392","newQuality Assurance Analyst","OMERS","Toronto, ON",3.4,"ON",NA,"Data Analyst"
"393","newMarketing Intelligence Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"394","Systems & Data Analyst","Canadian Red Cross","remote",4,"remote",NA,"Data Analyst"
"395","Data Engineer/Analyst","Software International","remote",NA,"remote",NA,"Data Analyst"
"396","newBusiness Systems Analyst (C1425)","City of London","London, ON",3.9,"ON",67673,"Data Analyst"
"397","newData Analyst - Fraud","Mistplay","Montréal, QC",NA,"QC",NA,"Data Analyst"
"398","database analyst","VGM Wire & Automation","Edmonton, AB",NA,"AB",43475,"Data Analyst"
"399","Microbiology Analyst (Inventory)","Canadian Food Inspection Agency","Calgary, AB+1 location",4.1,"ON",71698,"Data Analyst"
"400","newData Analyst – Full Time","DIVISA","Toronto, ON",NA,"ON",NA,"Data Analyst"
"401","newCategory Business Analyst, Party City","Canadian Tire Corporation","Toronto, ON+1 location",3.6,"ON",NA,"Data Analyst"
"402","newSenior Data Analyst","Best Buy","Burnaby, BC",3.8,"BC",NA,"Data Analyst"
"403","newUnclaimed Property Analyst","Foresters Financial Services, Inc.","remote",3.4,"remote",NA,"Data Analyst"
"404","Data Analyst","Tikinagan Child & Family Services","Sioux Lookout, ON",3.3,"ON",NA,"Data Analyst"
"405","newBusiness Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"406","Business Intelligence Analyst","Penny AI","remote",NA,"remote",87500,"Data Analyst"
"407","Intermediate Data Analyst","AstraNorth","Toronto, ON",NA,"ON",1e+05,"Data Analyst"
"408","Senior Data Analyst","Dapper Labs","remote",NA,"remote",NA,"Data Analyst"
"409","Data Analyst","Infrastructure Ontario","Toronto, ON",3,"ON",NA,"Data Analyst"
"410","Risk Data Analyst","Equitable Life of Canada","Waterloo, ON",3.7,"ON",NA,"Data Analyst"
"411","newdatabase analyst","KAN Security Inc.","Surrey, BC",NA,"BC",70300,"Data Analyst"
"412","newAnalyst, Threat Intelligence","Scotiabank","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"413","Reporting Analyst","Staples","Vaughan, ON",3.6,"ON",NA,"Data Analyst"
"414","Marketing Data Analyst","Score Media and Gaming Inc.","remote",NA,"remote",NA,"Data Analyst"
"415","newAnalyst - Data","Desjardins","remote",3.9,"remote",NA,"Data Analyst"
"416","newInsights Analyst","407 ETR","Woodbridge, ON",3.8,"ON",NA,"Data Analyst"
"417","newjunior business and system analyst","Zen Artech Services","Vancouver, BC",NA,"BC",60125,"Data Analyst"
"418","newSenior Economic Policy Analyst","Government of Saskatchewan","Regina, SK",3.8,"SK",74000,"Data Analyst"
"419","Business Analyst - Data","Ubisoft","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"420","Business Analyst, Sustainability","Canadian Tire Corporation","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"421","Data Quality Analyst","Saskatchewan Government Insurance","Regina, SK",3.6,"SK",85470,"Data Analyst"
"422","Senior Data Analyst","Kognitiv Corporation","Toronto, ON",NA,"ON",NA,"Data Analyst"
"423","Data Analyst, Marketing","CAPREIT","Toronto, ON",3.2,"ON",NA,"Data Analyst"
"424","Data Analyst- Contract","Assent","remote",NA,"remote",NA,"Data Analyst"
"425","newSenior Data Quality Analyst","Workplace Safety and Insurance Board","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"426","Business Analyst","Porter Airlines Inc.","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"427","Data Analyst (remote)","Mattermost","remote",NA,"remote",NA,"Data Analyst"
"428","newAccounting Analyst (Contract) - Hybrid","Moneris Solutions","remote",3.4,"remote",NA,"Data Analyst"
"429","newData Analyst","Sanofi US","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"430","Data Analyst- Analytics and Reporting","Alberta Blue Cross","remote",3.7,"remote",NA,"Data Analyst"
"431","data analyst - informatics and systems","Quantasphere Business Solutions Inc.","remote",NA,"remote",70300,"Data Analyst"
"432","Data Analyst, Service Innovation","Myplanet","remote",4.5,"remote",NA,"Data Analyst"
"433","Analyst, Due Diligence","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"434","Data Analyst (Pyspark and Snowflake)","Software International","remote",NA,"remote",92500,"Data Analyst"
"435","Data Analyst","CIRA","remote",5,"remote",NA,"Data Analyst"
"436","Data Analyst","Virtusa","Halifax, NS",3.7,"NS",NA,"Data Analyst"
"437","Data analyst with SQL","eTeam Inc.","Florida, ON",NA,"ON",NA,"Data Analyst"
"438","Data Analyst","Unity Technologies","remote",NA,"remote",NA,"Data Analyst"
"439","Data Governance Analyst","SkipTheDishes","Winnipeg, MB",2.9,"MB",NA,"Data Analyst"
"440","newSecurities Data Analyst","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"441","newAnalyst, Data & Analytics- Data Governance","Air Canada","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"442","newAnalyst, Data Governance","Sun Life Financial","remote",3.9,"remote",NA,"Data Analyst"
"443","Data Analyst, Finance","CryptoKitties","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"444","Analyst","University of Waterloo","Waterloo, ON",4.4,"ON",NA,"Data Analyst"
"445","Data Analyst","Lucova","Toronto, ON",NA,"ON",NA,"Data Analyst"
"446","newANALYST, DATA AND ANALYTICS","Ontario Shores Centre for Mental Health Services","Whitby, ON",3.7,"ON",NA,"Data Analyst"
"447","Data Analyst","Neo Financial","Calgary, AB",4.1,"AB",NA,"Data Analyst"
"448","Research Analyst – Land and Development","Avison Young Canada","Markham, ON",NA,"ON",NA,"Data Analyst"
"449","newAnalyst, Tax - Transfer Pricing [Co-op Fall 2022]","Grant Thornton","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"450","Senior Data Analyst - Remote within Canada","Ratehub","remote",NA,"remote",NA,"Data Analyst"
"451","Analyst, Reporting & Analytics","Intelex Technologies","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"452","newSr Policy Analyst (Policy & Programs)","City of Hamilton","Hamilton, ON",4.2,"ON",72150,"Data Analyst"
"453","new22-017 Evaluation & Data Analyst","CASA Child, Adolescent and Family Mental Health","Edmonton, AB",NA,"AB",53650,"Data Analyst"
"454","newSenior Data Analyst","Compest solutions","remote",NA,"remote",NA,"Data Analyst"
"455","Media Research Analyst","Cision","Ottawa, ON",3.5,"ON",NA,"Data Analyst"
"456","newBusiness Analyst","Global Payments","remote",3.4,"remote",60000,"Data Analyst"
"457","Data Analyst","Ainsworth","Mississauga, ON+2 locations",3.6,"NS",NA,"Data Analyst"
"458","Data Analyst","Michael Page CA","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"459","analyst - market research","Paradigm Sample Holdings Canada,ULC","Toronto, ON",NA,"ON",68450,"Data Analyst"
"460","newsales analyst","ECOBOKA GROUP INC.","Concord, ON",NA,"ON",76775,"Data Analyst"
"461","newData Analyst","Contrôles Laurentide","remote",3.6,"remote",NA,"Data Analyst"
"462","analyst, database","CHOHAN GROUP LTD","Edmonton, AB",NA,"AB",43475,"Data Analyst"
"463","newBusiness Analyst","E1 Consulting LLC","remote",NA,"remote",NA,"Data Analyst"
"464","Data Analyst","Xylem","remote",3.4,"remote",NA,"Data Analyst"
"465","newSenior Data Analyst","RouteThis","remote",NA,"remote",NA,"Data Analyst"
"466","Operations Analyst","Connect Tech","Guelph, ON",3,"ON",NA,"Data Analyst"
"467","Data Analyst, Business Intelligence (Toronto)","StackAdapt","Canada",4.5,"DA",NA,"Data Analyst"
"468","Accounting Analyst","ETEAM INFOSERVICES PRIVATE LIMITED","remote",NA,"remote",46250,"Data Analyst"
"469","Junior Analyst","BCAA","Canada",3.9,"DA",NA,"Data Analyst"
"470","IT Data Analyst III","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"471","Data Reporting Analyst","SOCAN - Society of Composers, Authors and Music...","remote",3.4,"remote",NA,"Data Analyst"
"472","newLead Data Analyst","Cognizant","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"473","newSenior Business Intelligence and Reporting Analyst","TD Bank","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"474","GIS Analyst","Baird & Associates","Oakville, ON",NA,"ON",NA,"Data Analyst"
"475","Data Analyst (3-6 Month Contract)","Mircom Technologies","Vaughan, ON",2.4,"ON",NA,"Data Analyst"
"476","Data Analyst","HKJ Marketing","Richmond, BC",NA,"BC",NA,"Data Analyst"
"477","HRIS Data Analyst","EMCO Corporation","London, ON",3.4,"ON",NA,"Data Analyst"
"478","newAnalyst/Sr Analyst – GCS International Marketing Analytics a...","Amex","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"479","Data Analyst, Valuation Solutions","FCT","remote",3.1,"remote",NA,"Data Analyst"
"480","BI analyst Entry Level (Bootcamp)","Helm360","Toronto, ON",NA,"ON",83500,"Data Analyst"
"481","newSenior Data Analyst","AMBER STUDIO","remote",NA,"remote",NA,"Data Analyst"
"482","Marketing Data Analyst -","Mattermost","remote",NA,"remote",NA,"Data Analyst"
"483","Analyste, entrée de données / Data Operations Analyst","Equifax","remote",3.5,"remote",NA,"Data Analyst"
"484","Master Data Analyst (CONTRACT) [#3970]","Alteo","remote",NA,"remote",NA,"Data Analyst"
"485","Business Analyst","N2P Systems","Toronto, ON",NA,"ON",87875,"Data Analyst"
"486","Analyst, Fall 2022 (Co-op/Internship) - 4 months","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"487","Data Analyst - Mobile QV","Electronic Arts","Vancouver, BC",3.8,"BC",NA,"Data Analyst"
"488","newResearch Analyst - Lower 48 Upstream","Wood Mackenzie","Calgary, AB",NA,"AB",NA,"Data Analyst"
"489","newEngineering Analyst II - Enbridge","Bluelime Technical Services","Chatham-Kent, ON",NA,"ON",NA,"Data Analyst"
"490","Business Systems Analyst, Supply Chain","Canada Goose Inc.","Toronto, ON",3,"ON",NA,"Data Analyst"
"491","Data Analyst, Corporate Quality","Extendicare Canada","remote",3.3,"remote",NA,"Data Analyst"
"492","Data Analyst","CI Investments Inc","Toronto, ON",3.1,"ON",NA,"Data Analyst"
"493","Fall 2022 Student Opportunities, Data Analyst, Technology &...","Royal Bank of Canada","remote",4,"remote",NA,"Data Analyst"
"494","Data Analyst","Revolution Capital","Woodbridge, ON",4.8,"ON",NA,"Data Analyst"
"495","Revenue Analyst","Crescent Hotels & Resorts","Toronto, ON",4,"ON",NA,"Data Analyst"
"496","Co-op Student: Data Analyst","TELUS","Vancouver, BC",3.9,"BC",NA,"Data Analyst"
"497","newRisk Analyst","Bird Construction","Edmonton, AB",4,"AB",NA,"Data Analyst"
"498","Data Analyst, Consultant - GRCS Risk Consulting","KPMG","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"499","Support Data Analyst (Python)","ATP","remote",NA,"remote",NA,"Data Analyst"
"500","Business Analyst Intern","TheAppLabb","remote",4.4,"remote",NA,"Data Analyst"
"501","Data Analyst","WGames Inc.","Toronto, ON",NA,"ON",NA,"Data Analyst"
"502","newAnalyst, Information Security","CIBC","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"503","Data Support Sr Analyst","Bank of America","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"504","Business Analyst","Active Exhaust Corp.","Toronto, ON",2.9,"ON",NA,"Data Analyst"
"505","Project Analyst II","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"506","Business Analyst","Remitbee","Mississauga, ON",NA,"ON",53357.5,"Data Analyst"
"507","newData Shared Services Associate Analyst","Royal Bank of Canada","Halifax, NS",4,"NS",NA,"Data Analyst"
"508","newBusiness Analyst","CGI","Toronto, ON+1 location",3.6,"ON",NA,"Data Analyst"
"509","Sr. IT Data Analyst","TD Bank","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"510","Junior Business Analyst","Centrecorp Management Services Limited","Markham, ON",3.7,"ON",NA,"Data Analyst"
"511","Research Analyst","PATTISON Outdoor Advertising","Mississauga, ON",3.8,"ON",NA,"Data Analyst"
"512","newCustomer Business Analyst, LCL","FERRERO","Toronto, ON",4,"ON",NA,"Data Analyst"
"513","newDatabase Analyst","Royal Victoria Regional Health Centre","Barrie, ON",3.6,"ON",125800,"Data Analyst"
"514","newTransfer Pricing Analyst","Magna International Inc.","remote",3.6,"remote",NA,"Data Analyst"
"515","Junior Database Analyst","HealthHub Solutions","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"516","Summer Student - Data Analyst Customs","Toromont CAT","remote",3.6,"remote",NA,"Data Analyst"
"517","Data Analyst","Remsoft","Fredericton, NB",NA,"NB",NA,"Data Analyst"
"518","Business Support Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"519","newContent Research Analyst, SEO","Angi","remote",NA,"remote",NA,"Data Analyst"
"520","newPolicy Analyst","Yukon Government","Whitehorse, YT",3.8,"YT",92078,"Data Analyst"
"521","Business Analyst","Valtech","remote",4,"remote",NA,"Data Analyst"
"522","Data - Analyst -Max Digital","ACV Auctions","Toronto, ON",NA,"ON",NA,"Data Analyst"
"523","Data Analyst - Energy","ICF","Ottawa, ON",3.4,"ON",NA,"Data Analyst"
"524","Business Analyst","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"525","Reinsurance Analyst","LOGiQ3","Toronto, ON",NA,"ON",NA,"Data Analyst"
"526","newBusiness Analyst","Alba Inc.","Toronto, ON+1 location",NA,"ON",NA,"Data Analyst"
"527","newCompensation and Data Analyst","HollandGroupFinancial","Toronto, ON",NA,"ON",NA,"Data Analyst"
"528","newInventory Analyst","Hisense Canada","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"529","Digital Marketing Analyst- Porsche Centre Markham","Pfaff Automotive Partners","Markham, ON",3,"ON",47500,"Data Analyst"
"530","Master Data Analyst","Alstom","Brampton, ON",4,"ON",NA,"Data Analyst"
"531","Business Analyst","Dash Hudson","remote",NA,"remote",NA,"Data Analyst"
"532","Technical Business Analyst - New College Grad - Toronto","Guidewire Software, Inc.","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"533","newBusiness Analyst 4-Ops","Oracle","Canada",3.8,"DA",NA,"Data Analyst"
"534","Marketing Analyst","Lone Wolf Technologies","remote",2.9,"remote",NA,"Data Analyst"
"535","Programmer Analyst – Mainframe","DXC Technology","Ontario",3.2,"IO",NA,"Data Analyst"
"536","newLead Data Analyst","E Inc.","Toronto, ON",2.8,"ON",NA,"Data Analyst"
"537","newMarket Analyst, Product (Remote)","Ada Inc.","remote",NA,"remote",NA,"Data Analyst"
"538","newBusiness Metrics Analyst NEW","SaskTel","Saskatoon, SK",4.4,"SK",97125,"Data Analyst"
"539","newTemporary - Research Analyst","University Hospital","London, ON",3.8,"ON",NA,"Data Analyst"
"540","newElectronic File Analyst, Group Benefits","Manulife","Waterloo, ON",4,"ON",NA,"Data Analyst"
"541","newFinancial Solutions - Data Analyst","Teranet","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"542","newHuman Resources (HR) Systems & Data Analyst","Canadian Red Cross","remote",4,"remote",65925,"Data Analyst"
"543","ECON 24R - Economic Analyst","BC Public Service","Victoria, BC",3.4,"BC",NA,"Data Analyst"
"544","newData Analyst","University of Alberta","remote",4.3,"remote",64641,"Data Analyst"
"545","newData Analyst","Wellington-Altus Private Wealth","Winnipeg, MB",2,"MB",NA,"Data Analyst"
"546","GIS Analyst","NRBN","Niagara Falls, ON",NA,"ON",NA,"Data Analyst"
"547","Quantitative Investments Analyst, Officer - Open to Hybrid a...","State Street","remote",3.5,"remote",NA,"Data Analyst"
"548","newOperation Analyst","CIBC","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"549","Senior Analyst, Business- Special Projects","Ontario Health","Toronto, ON",4.3,"ON",NA,"Data Analyst"
"550","People Services Data Analyst - GO Rail Expansion (RER)","Aecon Group","Toronto, ON",4,"ON",NA,"Data Analyst"
"551","Data Analyst","JNP Logiciel International Inc.","remote",NA,"remote",32240,"Data Analyst"
"552","Senior Operations Analyst","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"553","Senior Data Analyst","Workplace Safety and Insurance Board","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"554","QA Analyst","CaseWare IDEA","Canada",NA,"DA",NA,"Data Analyst"
"555","Data Analyst","eSSENTIAL Accessibility","Toronto, ON",NA,"ON",NA,"Data Analyst"
"556","Policy Analyst (Remote)- First Peoples Wellness Circle","Tulloch Consulting","remote",NA,"remote",NA,"Data Analyst"
"557","Innovation Researcher and Analyst, Advisory","KPMG","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"558","newBusiness Data Analyst - Power BI","Chubb Fire & Security Canada Corporation","Mississauga, ON",3.3,"ON",NA,"Data Analyst"
"559","Fall 2022 Student Opportunities, Business/Operations Analyst...","Royal Bank of Canada","remote",4,"remote",NA,"Data Analyst"
"560","Business Analyst","Priceline.com","Toronto, ON",NA,"ON",NA,"Data Analyst"
"561","Business Analyst","N-able","remote",NA,"remote",NA,"Data Analyst"
"562","Lead Data Analyst","EDealer","Toronto, ON",2.8,"ON",NA,"Data Analyst"
"563","newInsider Threat Analyst (Consultant), Deloitte Global Risk","Deloitte","Toronto, ON",4,"ON",NA,"Data Analyst"
"564","Business Analyst 3","FortisBC","Trail, BC",3.4,"BC",123025,"Data Analyst"
"565","Junior Business Analyst","Genpact","remote",NA,"remote",NA,"Data Analyst"
"566","IT Quality Analyst","Citi","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"567","Transfer Pricing Analyst","BDO","remote",3.6,"remote",NA,"Data Analyst"
"568","Supply Chain Analyst","dahl Valve Limited","Mississauga, ON",2,"ON",65000,"Data Analyst"
"569","Data Quality Analyst","ICES Central","remote",NA,"remote",NA,"Data Analyst"
"570","Operations Analyst - New Grad Program","Toronto Hydro","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"571","Data analyst developer","Alfaconseil","remote",NA,"remote",70662,"Data Analyst"
"572","Data Analyst, Inventory Partnerships (Toronto)","StackAdapt","Canada",4.5,"DA",NA,"Data Analyst"
"573","COOP LVL 2 - Forest Inventory Data Analyst","BC Public Service","Victoria, BC",3.4,"BC",NA,"Data Analyst"
"574","Data Security Analyst","Concentra Bank","remote",4,"remote",NA,"Data Analyst"
"575","Internal Control - Regulatory Controls, Regulatory Data Anal...","Scotiabank","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"576","newAnalyst, Digital Product and Customer Analytics","Canadian Tire Corporation","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"577","Data Analyst","McGill University","Montréal, QC",4.3,"QC",NA,"Data Analyst"
"578","newJunior Systems Analyst - Co-Op Student","CGI","Calgary, AB",3.6,"AB",NA,"Data Analyst"
"579","Senior Data Analyst","Aviva","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"580","newBusiness Process Analyst","York University","Toronto, ON",4.2,"ON",82372.5,"Data Analyst"
"581","CRW Data and Reporting Analyst","Coast Capital Savings","Surrey, BC",3.7,"BC",NA,"Data Analyst"
"582","Junior Clinical Trials Data Analyst (Hybrid)","IQVIA","Ottawa, ON",3.8,"ON",NA,"Data Analyst"
"583","DATA ANALYST","Bureau Veritas","Mississauga, ON",3.7,"ON",NA,"Data Analyst"
"584","newAnalyste de données marketing /Marketing Data Analyst","Smardt","Dorval, QC",NA,"QC",NA,"Data Analyst"
"585","Data Analyst (Remote)","Cognizant Microsoft Business Group","remote",NA,"remote",NA,"Data Analyst"
"586","Portfolio Valuations Market Data Analyst","S&P Global","remote",3.9,"remote",NA,"Data Analyst"
"587","Data/Pricing Analyst","Upwardly Careers","remote",NA,"remote",NA,"Data Analyst"
"588","Diversity, Equity, Inclusion & Belonging (DEIB) Analyst","Meridian Credit Union","St. Catharines, ON",3.7,"ON",NA,"Data Analyst"
"589","Technical Business Analyst (remote)","Software International","remote",NA,"remote",120250,"Data Analyst"
"590","Master Data Analyst","Metrie","Vancouver, BC",3.2,"BC",NA,"Data Analyst"
"591","newBusiness Analyst - Business Data","Desjardins","remote",3.9,"remote",NA,"Data Analyst"
"592","Business Analyst","AlertDriving","Toronto, ON",NA,"ON",NA,"Data Analyst"
"593","Reservations Reporting Analyst","Four Seasons","Toronto, ON",4.2,"ON",NA,"Data Analyst"
"594","Sustainability Analyst","JLL","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"595","Business Analyst","Chef Brandz","Mississauga, ON",3.3,"ON",57500,"Data Analyst"
"596","Data Analyst","NAVBLUE","remote",3.9,"remote",NA,"Data Analyst"
"597","Portfolio Data Analyst","AstraNorth","Toronto, ON",NA,"ON",120000,"Data Analyst"
"598","newSenior Portfolio Data Fraud Analyst","CIBC","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"599","Associate Business Analyst","Olympus Corporation of the Americas","Richmond Hill, ON",3.6,"ON",NA,"Data Analyst"
"600","Bus Application Analyst III","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"601","newBusiness Systems Analyst - ServiceNow CMDB (Remote)","Cognizant","remote",3.9,"remote",NA,"Data Analyst"
"602","Business Process Analyst","Myplanet","remote",4.5,"remote",NA,"Data Analyst"
"603","Media Experts - Data Analyst, Audience & Analytics","IPG Mediabrands","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"604","Business Analyst, Innovation","TD Bank","remote",3.8,"remote",NA,"Data Analyst"
"605","Decision Support Information Analyst","Ross Memorial Hospital","Lindsay, ON",4.2,"ON",NA,"Data Analyst"
"606","ADMN O 24R - Policy Analyst","BC Public Service","Victoria, BC",3.4,"BC",NA,"Data Analyst"
"607","Sustainable Operations Program Analyst","County of Simcoe","Midhurst, ON",4,"ON",36075,"Data Analyst"
"608","newGlobal HRIS Analyst","ATS Automation Tooling Systems Inc.","Cambridge, ON",3.4,"ON",NA,"Data Analyst"
"609","newCA - Jr. Business Analyst, FP&A - Mississauga - VitalAire","Air Liquide","Canada",3.7,"DA",NA,"Data Analyst"
"610","newJunior Business Analyst - Co-Op Student","CGI","Calgary, AB",3.6,"AB",NA,"Data Analyst"
"611","newAsset Management Analyst","Halton Region","Halton, ON",3.8,"ON",NA,"Data Analyst"
"612","Analyst- Business and Systems","Canadian Red Cross","remote",4,"remote",60592,"Data Analyst"
"613","newMurex Business Analyst - Generalist (Front Office / Back Off...","Luxoft","remote",NA,"remote",NA,"Data Analyst"
"614","newWorkload Analyst","Capgemini","remote",3.8,"remote",NA,"Data Analyst"
"615","Sales Data Analyst","Mister Safety Shoes","remote",3.1,"remote",NA,"Data Analyst"
"616","newProduct Analyst","Numeris","remote",3.4,"remote",NA,"Data Analyst"
"617","newBusiness Analyst","Xpanxion","remote",NA,"remote",NA,"Data Analyst"
"618","newAnalyst, Trade Development","Southern Glazer’s Wine and Spirits","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"619","Junior Business Analyst","Norsat International Inc.","Richmond, BC",NA,"BC",NA,"Data Analyst"
"620","Senior Data Analyst","Deloitte","Toronto, ON",4,"ON",NA,"Data Analyst"
"621","analyst, database","ANAYA TECHNOLOGIES INC.","Brampton, ON",NA,"ON",77700,"Data Analyst"
"622","newData Engineer / Business Intelligence Developer (Remote)","Trading Central","remote",NA,"remote",NA,"Data Analyst"
"623","newBusiness Systems Analyst","Questrade Financial Group","remote",3.5,"remote",NA,"Data Analyst"
"624","Systems Analyst","ISG Search Inc","remote",4.8,"remote",90000,"Data Analyst"
"625","Inventory Control Analyst","Mevotech LP","Mississauga, ON",3.3,"ON",52500,"Data Analyst"
"626","newBusiness Solutions Analyst (GIS)","City of Abbotsford","Abbotsford, BC",3.4,"BC",90650,"Data Analyst"
"627","Risk Analyst (Construction)","Metrolinx","Canada",3.9,"DA",86147,"Data Analyst"
"628","Data Analyst","CGI Inc","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"629","Data Analyst and Programmer","University of Waterloo","Waterloo, ON",4.4,"ON",NA,"Data Analyst"
"630","Business Analyst","GHD","Waterloo, ON",3.6,"ON",NA,"Data Analyst"
"631","Data Visualization Business Analyst","PHSA","Burnaby, BC",3.1,"BC",79550,"Data Analyst"
"632","Data and Process Analyst - Accreditation","University of Waterloo","Waterloo, ON",4.4,"ON",NA,"Data Analyst"
"633","Settlements Analyst","Peak Power","Toronto, ON",NA,"ON",NA,"Data Analyst"
"634","Quality Assurance Analyst","Pacific Blue Cross","Burnaby, BC",3.4,"BC",NA,"Data Analyst"
"635","newInventory Analyst - Supply Chain","St. Michael's Hospital","Toronto, ON",4.1,"ON",101750,"Data Analyst"
"636","CS-03 : Database Analyst, Database Developer, Data Modeller,...","Canada Revenue Agency","remote",4,"remote",102493,"Data Analyst"
"637","Business Analyst Intern (Fall - 4 months)","IBM","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"638","Analyst, Business Intelligence","LifeWorks","remote",3.1,"remote",NA,"Data Analyst"
"639","Data Visualization Consultant, Omnia AI","Deloitte","Toronto, ON",4,"ON",NA,"Data Analyst"
"640","Junior Business Analyst","RPM TECHNOLOGIES CORP","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"641","newSenior Financial Data Analyst","Simcorp","Toronto, ON",NA,"ON",NA,"Data Analyst"
"642","Senior Analyst, Fraud Data Analytics (remote/hybrid)","Central 1 Credit Union","remote",2.8,"remote",102500,"Data Analyst"
"643","newBusiness Development Analyst - Fall 2022 Student - Personal...","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"644","Sr. Data Analyst - Digital Audience","Rogers Communications","remote",3.7,"remote",NA,"Data Analyst"
"645","newIT Analyst II - Data Integration Developer","Alberta Health Services","Calgary, AB",3.8,"AB",NA,"Data Analyst"
"646","Data and Reporting Analyst","Vermilion Energy","Calgary, AB",3.5,"AB",NA,"Data Analyst"
"647","newRevenue & Pricing - Analyst I","Westjet Airlines","remote",3.9,"remote",NA,"Data Analyst"
"648","newHR Systems and Reporting Analyst","Ritchie Bros.","remote",3.7,"remote",NA,"Data Analyst"
"649","newBusiness Analyst Transformation Office","Coast Capital Savings","remote",3.7,"remote",NA,"Data Analyst"
"650","Data Analyst – Power BI, SQL","AstraNorth","Toronto, ON+2 locations",NA,"NS",140000,"Data Analyst"
"651","newTechnical Data Analyst","Atlantis IT group","Toronto, ON",NA,"ON",NA,"Data Analyst"
"652","Senior Analyst, Innovation and Data Insights","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
