,title,company,location,pay,rating
76,newData Analyst,The College of Physicians and Surgeons of Ontario,"Toronto, ON",,3.3
77,"Business Data Analyst - Life Sciences & Healthcare, Omnia AI",Deloitte,Ontario,,4.0
78,newAnalyst - Compensation,Westjet Airlines,"Remote in Calgary, AB",,3.9
79,Data Analyst,Avison Young Canada,"Mississauga, ON",,
80,newBusiness Analyst/Consultant,Quad Infotech,"North York, ON",,
81,Business Intelligence Specialist,Canadian Security Intelligence Service,"Ottawa, ON","$84,050 - $102,250 a year",4.4
82,newData Analyst,Ottawa Sports & Entertainment Group,"Ottawa, ON",,3.7
83,"newSenior Developer Analyst, Data and Personalization | TELUS D...",TELUS,"Remote in Toronto, ON",,3.9
84,Data Analyst - Contractor,TELUS,"Toronto, ON+1 location",,3.9
85,Microbiology Analyst (Inventory),Canadian Food Inspection Agency,"Calgary, AB+1 location","$63,302 - $80,094 a year",4.1
86,Data and Process Analyst - Accreditation,University of Waterloo,"Waterloo, ON",,4.4
87,newData Support Sr Analyst,Bank of America,"Toronto, ON",,3.8
88,Data Analyst,Clio,"Remote in Toronto, ON",,4.1
89,"Analyst, Data Strategy Fall 2022 Student",Royal Bank of Canada,"Toronto, ON",,4.0
90,newBusiness Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
91,newData Analyst - Reporting,Score Media and Gaming Inc.,"Remote in Toronto, ON",,
92,Data Analyst,Purolator,"Pickering, ON",,3.5
93,newBusiness Data Analyst,Kent Building Supplies,"Saint John, NB",,3.4
94,newData Centre Analyst,BGIS,"Toronto, ON",,3.1
95,"Data Analyst, Traction Rec",Uncommon Purpose,Remote,,
96,Junior Data Analyst,OSL Retail Services Inc,"Mississauga, ON",,2.9
97,newData Reporting Analyst,"SOCAN - Society of Composers, Authors and Music...","Hybrid remote in Toronto, ON+1 location",,3.4
98,Engagement Data Analyst,City of Coquitlam,"Remote in Coquitlam, BC",$37.12 - $43.82 an hour,4.2
99,Data Analyst,Tresume,"Markham, ON",,
100,newMarketing Analyst,Lone Wolf Technologies,"Remote in Toronto, ON",,2.9
101,newDesktop Support Analyst,Geotab,"Remote in Waterloo, ON",,2.7
102,newSenior Investment Data Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
103,Data Analyst,Dapper Labs,Remote,,
104,newSpend Analytics Analyst,Mohawk Medbuy Corporation,"London, ON+1 location",,2.7
105,newBusiness Data Analyst,Kent Building Supplies,"Saint John, NB",,3.4
106,newData Centre Analyst,BGIS,"Toronto, ON",,3.1
107,"Data Analyst, Traction Rec",Uncommon Purpose,Remote,,
108,Junior Data Analyst,OSL Retail Services Inc,"Mississauga, ON",,2.9
109,newData Reporting Analyst,"SOCAN - Society of Composers, Authors and Music...","Hybrid remote in Toronto, ON+1 location",,3.4
110,Engagement Data Analyst,City of Coquitlam,"Remote in Coquitlam, BC",$37.12 - $43.82 an hour,4.2
111,Data Analyst,Tresume,"Markham, ON",,
112,newMarketing Analyst,Lone Wolf Technologies,"Remote in Toronto, ON",,2.9
113,newDesktop Support Analyst,Geotab,"Remote in Waterloo, ON",,2.7
114,newSenior Investment Data Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
115,Data Analyst,Dapper Labs,Remote,,
116,newSpend Analytics Analyst,Mohawk Medbuy Corporation,"London, ON+1 location",,2.7
117,newBusiness Analyst/Data Analyst,Yokohama Tire Canada inc.,"Greater Toronto Area, ON+6 locations",,
118,newFOREST ANALYST INTERN,"Ministry of Northern Development, Mines, Natural...","Thunder Bay, ON","$1,043 - $1,252 a week",
119,newBusiness Information Systems Analyst,TELUS,"Toronto, ON",,3.9
120,Business Analyst,N2P Systems,"Toronto, ON",$45 - $50 an hour,
121,newData Analyst,Michael Page CA,"Toronto, ON",,3.5
122,newSenior Data Analyst,Unity Technologies,"Remote in Toronto, ON",,
123,newRemarketing Pricing Analyst,Nissan,"Mississauga, ON",,3.8
124,newDatabase Analyst,AirSuite,"Remote in Thunder Bay, ON","$70,000 - $80,000 a year",
125,newWORKFORCE ANALYST,Ministry of the Solicitor General,"Toronto, ON","$69,425 - $100,036 a year",3.0
126,Digital Marketing Analyst,Carfax,"Remote in London, ON",,
127,QA Analyst,Reliance Home Comfort,"Toronto, ON",,3.0
128,"Marketing Analyst, Google Hardware",Google,"Toronto, ON",,4.3
129,Data Analyst,Geotab,"Remote in Oakville, ON",,2.7
130,newData Ops Analyst,Okta,"Remote in Toronto, ON",,
131,Logistics Analyst,Lululemon,Remote in British Columbia,,4.2
132,Data Analyst,MasterCard,"Hybrid remote in Toronto, ON",,4.0
133,Sr Data Analyst,Public Goods,Remote,,
134,newBusiness Analyst,Alba Inc.,"Toronto, ON+1 location",,
135,newBusiness System Analyst,TELUS,"Toronto, ON",,3.9
136,Senior Data Analyst,Dapper Labs,Remote,,
137,newIT Junior Data Analyst,Btrust International Trading Inc.,"Oakville, ON",$16 - $20 an hour,
138,newBusiness Analyst,Total Credit Recovery,"North York, ON","$45,000 - $55,000 a year",3.0
139,newManager Digital/Data Analyst,Publicis Sapient,"Toronto, ON",,3.9
140,"newData Analyst, Data Products IA (Fall 2022 Student)",Royal Bank of Canada,"Toronto, ON",,4.0
141,Business Analyst,Valtech,Remote,,4.0
142,newIT Quality Analyst,Citi,"Mississauga, ON",,3.9
143,"newForecasting & data analyst, Analytics & Modelling",TD Bank,"Toronto, ON",,3.8
144,newHealth Data Analyst Summer Student,County of Lambton,"Point Edward, ON",,3.5
145,Geophysicist/Data Analyst NEW,Sander Geophysics,"Ottawa, ON",,3.8
146,"newData Analyst, Business Intelligence",CUSTOMER EXPERIENCE/EXPRIÉNCE CLIENT,"Toronto, ON",,
147,"Innovation Researcher and Analyst, Advisory",KPMG,"Toronto, ON",,3.9
148,newBusiness Operations Analyst,ClearEstate,"Remote in Toronto, ON+1 location",,
149,newBusiness Analyst,Canadian Tire Corporation,"Oakville, ON+1 location",,3.6
150,newBusiness Operations Analyst,ClearEstate,"Remote in Toronto, ON+1 location",,
151,newBusiness Analyst,Canadian Tire Corporation,"Oakville, ON+1 location",,3.6
152,SAP MDM Data Analyst,HRC Global Services,"Mississauga, ON",$60 - $80 an hour,
153,newJr. Business Analyst,eHealth Saskatchewan,"Regina, SK",$32.70 - $39.81 an hour,3.6
154,newBusiness Analyst,knak,"Ottawa, ON",,
155,newSupply Chain Analyst,Yamaha Motor Canada,"Remote in Toronto, ON",,4.3
156,Sr Data Analyst,Aviva,"Markham, ON+1 location",,3.8
157,In-line Inspection Data Analyst,Novitech Inc.,"Woodbridge, ON","$45,000 a year",
158,newMarketing Technology Analyst,StackPros Inc.,"Toronto, ON",,3.0
159,newSenior Data Analyst,OCS,"Remote in Toronto, ON",,4.0
160,Resource Management Data Analyst,KPMG,"Toronto, ON",,3.9
161,newData Analyst,ContactPoint 360,"Mississauga, ON",,4.1
162,Distribution Data Analyst (12 Month Contract),The Estée Lauder Companies,Canada+1 location,,4.0
163,newSenior Analyst - CPG Manufacturer,NielsenIQ,"Markham, ON",,
164,newBusiness Systems Analyst,Heart & Stroke,Remote,,4.2
165,Data Analyst,WGames Inc.,"Toronto, ON",,
166,Business Analyst,Thumbtack,"Remote in Toronto, ON",,
167,SUPPLY CHAIN ANALYST,Johnson & Johnson,"Guelph, ON",,4.2
168,newJr. Business Analyst,Dapasoft Inc,"Toronto, ON",,
169,Data Analyst,Sun Life Financial,"Temporarily Remote in Toronto, ON",,3.9
170,Revenue Analyst,Talent Department,"Toronto, ON","$55,000 - $65,000 a year",
171,Business Systems Analyst (Entry Level),Jarvis Consulting Group,"Toronto, ON",,
172,Data Analyst (Business Intelligence),Hive Media Group,"Temporarily Remote in Toronto, ON",,
173,Senior Business Data Analyst,RideCo,"Waterloo, ON","$90,000 - $110,000 a year",4.0
174,computer systems business analyst,Tiger Analytics Inc.,"Remote in Toronto, ON","$130,000 - $190,000 a year",
