,title,company,location,pay,rating
343,"Data Analyst, Financial Crime Analytics",Deloitte,Ontario,,4.0
344,Marketing Data Analyst,theScore Inc.,"Toronto, ON",,3.3
345,Analyst - Procurement,Westjet Airlines,"Remote in Calgary, AB",,3.9
346,"newFUNCTIONAL ANALYST, IT BUSINESS SOLUTIONS",Boutique La Vie En Rose,"Montréal, QC",,3.2
347,Business Analyst,City of Windsor,"Windsor, ON",$34.21 - $40.23 an hour,3.8
348,newHRIS Analyst,Livingston International,Ontario,,3.1
349,newPhysical Security Analyst,BMO Financial Group,"Toronto, ON",,3.8
350,newIT Analyst II - Business Intelligence Developer,Alberta Health Services,"Hybrid remote in Calgary, AB",,3.8
351,newData Analyst,Tetra Tech,"Remote in Vancouver, BC",,3.8
352,Junior Business Analyst,Centrecorp Management Services Limited,"Markham, ON",,3.7
353,"Data Analyst, Financial Crime Analytics",Deloitte,Ontario,,4.0
354,Marketing Data Analyst,theScore Inc.,"Toronto, ON",,3.3
355,BI Analyst,TELUS,Canada,,3.9
356,Policy Analyst (Remote)- First Peoples Wellness Circle,Tulloch Consulting,Remote,,
357,Data Analyst,SS&C Technologies,"Mississauga, ON",,3.2
358,Marketing Analyst,Scribendi,"Remote in Chatham-Kent, ON",,
359,Product Data Analyst- Remote- Ontario,Mitel,"Remote in Ottawa, ON",,3.3
360,Business Analyst,MSi Corp (Bell Canada),"Toronto, ON+2 locations",,3.6
361,Data Analyst (Analytics Platform),Ford Motor Company,"Waterloo, ON",,4.1
362,STO 21R - Geospatial Analyst,BC Public Service,"Vernon, BC",,3.4
363,Business System Analyst,BMO Financial Group,"Toronto, ON",,3.8
364,newData Analyst,Aecon Group,"Toronto, ON",,4.0
365,newIT (information technology) business analyst,KAYZEN CLOUD SOLUTIONS,"Mississauga, ON",$41.60 an hour,
366,"Business Analyst, EDI Systems & Projects",Buckland,"St. Thomas, ON",,3.5
367,"Data Analyst (Fixed-Term, 12-months)",Infrastructure Ontario,"Toronto, ON",,3.0
368,newFall 2022 Co-op: Data Experience & Business Analyst,Rogers Communications,"Brampton, ON",,3.7
369,newEvaluation and Data Analyst,Calgary Foothills Primary Care Network,"Calgary, AB",,
370,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
371,newSr. Business Analyst,Arthur Grand Technologies Inc,"Toronto, ON",$47 - $89 an hour,
372,Sr Pricing Analyst,Kalibrate,Remote,"$130,000 - $150,000 a year",
373,"newManager, Business Analyst - Customer Insights Data & Analyti...",Scotiabank,"Toronto, ON",,3.9
374,Contracts Analyst (),City of Hamilton,"Hamilton, ON",$40.48 - $46.00 an hour,4.2
375,"Data Analyst, Personalized Customer Incentives",Canadian Tire Corporation,"Toronto, ON",,3.6
376,newGlobal Operational Readiness Analyst,Scotiabank,"Hybrid remote in Scarborough, ON+1 location",,3.9
377,Senior Data and Reporting Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
378,Data Analyst,Extendicare Canada Inc.,"Markham, ON",,3.3
379,Research & Asset Management Analyst,JLL,"Toronto, ON",,3.7
380,newSenior Business Analyst,Capgemini,"Toronto, ON",,3.8
381,newData Science Analyst,Numeris,"Remote in Toronto, ON",,3.4
382,data warehouse analyst,Hypertec Administration Inc.,"Saint-Laurent, QC","$70,000 - $80,000 a year",
383,newSenior Data Management/BI Analyst,JLL,"Toronto, ON",,3.7
384,Operations Analyst,Connect Tech,"Guelph, ON",,3.0
385,Data Analyst,Oomomo Canada Ltd.,"Richmond, BC",,
386,Data Analyst - Sportsbook,theScore Inc.,"Toronto, ON",,3.3
387,newAssociate Business System Analyst,Sun Life Financial,"Temporarily Remote in Waterloo, ON",,3.9
388,newSr. Data Analyst,Ameya Data Solution,"Mississauga, ON",,
389,Business Analyst,University of Waterloo,"Waterloo, ON",,4.4
390,newAssociate Business System Analyst,Sun Life Financial,"Temporarily Remote in Waterloo, ON",,3.9
391,newSr. Data Analyst,Ameya Data Solution,"Mississauga, ON",,
392,Business Analyst,University of Waterloo,"Waterloo, ON",,4.4
393,Data Analyst - Land,Fugro,"Mississauga, ON",,3.9
394,Business Analyst/ Consultant,Deloitte,"Toronto, ON",,4.0
395,newBusiness Analyst,MarshallZehr Group Inc.,"Waterloo, ON",,
396,Support Data Analyst (Python),ATP,Remote,,
397,newSenior Associate Data Analyst -Monetization (Google Ad Manag...,Publicis Sapient,"Toronto, ON",,3.9
398,Data Analyst,NorWest Community Health Centres,"Thunder Bay, ON",,
399,"newAnalyst, Business Insights (Remote)",World Vision Canada,+19 locationsRemote,,3.9
400,newIT Business Analyst (Data Stage),Dawn InfoTek Inc.,"Toronto, ON",$50 - $60 an hour,
401,Data Analyst,Dawn InfoTek Inc.,"Toronto, ON",$35 - $42 an hour,
402,newMarketing Data - Analyst,Desjardins,"Hybrid remote in Toronto, ON",,3.9
403,"Associate, Business Analyst",Capital One,"Hybrid remote in Toronto, ON",,3.9
404,"Business Data Analyst - Government & Public Sector, Omnia AI",Deloitte,Canada,,4.0
405,Data Analyst,Tikinagan Child & Family Services,"Sioux Lookout, ON",,3.3
406,Junior Business Analyst,The Skyline Group of Companies,"Guelph, ON",,2.8
407,Market Data Analyst,S4 Market Data,"Remote in Toronto, ON",,
408,newBUSINESS ANALYST CITY CLERKS OFFICE,City of Toronto,"Toronto, ON","$88,980 - $104,541 a year",4.2
409,Master Data Analyst,Alstom,"Brampton, ON",,4.0
410,Rating Analyst - ABS Cash Flow,S&P Global,"Remote in Toronto, ON","$46,200 - $75,000 a year",3.9
411,Data Analyst,Xylem,"Temporarily Remote in Mississauga, ON",,3.4
412,newBusiness Analyst - 1 Year Contract,Scotiabank,"Toronto, ON",,3.9
413,Senior Market Research Analyst,SAIT,"Calgary, AB","$72,098 - $78,724 a year",4.0
414,Product Analyst,Canadian Tire Corporation,Ontario,,3.6
415,newMarketing Analyst,ARZ Fine Foods,"North York, ON",,3.8
416,"Analyst, Credit Risk",PC Financial,"Toronto, ON",,3.2
417,"newAnalyst, FX Confirmations",Scotiabank,"Toronto, ON",,3.9
418,newMarket Data Analyst,Autodesk,"Toronto, ON",,4.1
419,newBusiness Analyst,Chef Brandz,"Mississauga, ON","$55,000 - $60,000 a year",3.3
420,Digital Email Marketing Data Analyst (Revenue),The Globe and Mail,"Toronto, ON",,3.8
421,Business Analyst - Banking,Tresume,"Markham, ON",,
422,Data Analyst - Reporting,Score Media Ventures Inc.,"Toronto, ON",,
423,"newBusiness Analyst Student, Transportation Operational Analysi...",Canadian Tire Corporation,"Brampton, ON",,3.6
424,newBusiness Analyst,EGATE Networks,"North York, ON","$50,000 - $60,000 a year",
425,newPricing Analyst,DSV,"Milton, ON+1 location",,3.4
426,Business Analyst,Shorewise Inc,"Toronto, ON",,
427,Business Analyst,AlertDriving,"Toronto, ON",,
428,Business Analyst Associate Manager,Canada Life Assurance Company,"London, ON",,3.7
429,CPFR Analyst,Reckitt,"Mississauga, ON",,3.8
430,newCosting Analyst,Chef Brandz,"Mississauga, ON","$65,000 - $70,000 a year",3.3
431,Reporting Analyst,BGIS,"Ottawa, ON",,3.1
432,Cost & Scheduling Analyst,Kinectrics,"Etobicoke, ON","$60,000 - $80,000 a year",
433,"newBusiness Operations Analyst I, AWS Commerce Platform Busines...",Amazon Dev Centre Canada ULC,"Vancouver, BC",,3.5
434,DATA ANALYST,Bureau Veritas,"Mississauga, ON",,3.7
435,"newBusiness Operations Analyst I, AWS Commerce Platform Busines...",Amazon Dev Centre Canada ULC,"Vancouver, BC",,3.5
436,DATA ANALYST,Bureau Veritas,"Mississauga, ON",,3.7
437,"newData Analyst, System Optimization",Fraser Health,"Surrey, BC",,3.7
438,Data Analyst (Growth-Marketing),Game Hive Corporation,"Toronto, ON",,
439,HR Data Analyst,Ledcor,"Calgary, AB+2 locations",,3.7
440,Asset Management Analyst,GWL Realty Advisors,"Toronto, ON",,3.7
441,Business Analyst - DW/ETL,Capgemini,"Remote in Toronto, ON",,3.8
442,"Data Visualization Consultant, Omnia AI",Deloitte,"Toronto, ON",,4.0
443,Data Analyst,Maverin Inc.,"Temporarily Remote in Ottawa, ON","$75,000 a year",
444,newBusiness Analyst,"Sun Pharmaceutical Industries, Inc.","Brampton, ON",,3.8
445,Business System Analyst,Genpact,Ontario,,
446,E-Commerce Analyst,Gordon Food Service Canada,"Milton, ON",,3.5
447,Data Analyst - Energy,ICF,"Ottawa, ON",,3.4
448,newBusiness Immigration Analyst,"Fragomen,(Canada) Co.","Hybrid remote in Toronto, ON",,3.2
449,newBusiness Analyst,MarshallZehr,"Waterloo, ON",,
450,GIS Data Analyst,Pomerleau,"Remote in Montréal, QC",,3.8
451,Support Analyst,Fundserv Inc.,"Toronto, ON",,
452,newAcademic Quality Data Analyst,George Brown College,"Toronto, ON",$35.39 - $41.01 an hour,4.3
453,newUser Research Analyst,Ubisoft,"Quebec City, QC",,3.8
454,"newAnalyst, Inventory",Anheuser-Busch,"Creston, BC",,3.7
455,"Senior Analyst, Canadian Fixed-Income Operations",BMO Financial Group,"Toronto, ON",,3.8
456,Senior Data Analyst,Wave,"Toronto, ON",,3.3
457,newServices Operations Analyst,Conexiom,"Kitchener, ON",,2.0
458,newSystems Analyst – PeopleSoft,Grant MacEwan University,"Hybrid remote in Edmonton, AB","$67,540 - $98,244 a year",4.2
459,Business Analyst,CAPREIT,"Toronto, ON",,3.2
460,Sr. Data Science Analyst,University Health Network,"Toronto, ON","$71,195 - $88,998 a year",4.1
461,HCM - IT Support Analyst,BURNCO Rock Products,"Remote in Calgary, AB",,3.0
462,Business + Data Analyst,Kitchen Hub,"Toronto, ON",,
463,Data Analyst II (Data Science/ML),Cvent,"Remote in Fredericton, NB",,3.6
464,Associate Analyst (entry level) Data Lineage & Control,Royal Bank of Canada,"Halifax, NS",,4.0
465,Associate Analyst (entry level) Data Lineage & Control,Royal Bank of Canada,"Halifax, NS",,4.0
466,Business Analyst,Teleperformance Canada,"Toronto, ON","$51,000 a year",3.5
467,newBusiness Intelligence Analyst,Ornge,"Mississauga, ON",,3.8
468,Business Analyst 3,FortisBC,"Trail, BC",$42.91 an hour,3.4
469,Actuarial Analyst - Data Science,Aviva,"Montréal, QC",,3.8
470,newMDM Business Analyst,Cognizant,"Mississauga, ON",,3.9
471,Data Analyst,Unity Technologies,"Remote in Toronto, ON",,
472,newKnowledge Management & Translation Analyst,University Health Network,"Toronto, ON",,4.1
473,Senior Data Analyst,Deloitte,"Toronto, ON",,4.0
474,"Fraud Analyst, Deposit Fraud",BMO Financial Group,"Toronto, ON",,3.8
475,newSENIOR SYSTEM ANALYST LEAD PROGRAMMER,Ministry of Health,"Remote in North York, ON","$1,391 - $1,778 a week",3.9
476,Agile Business Analyst (Remote),Cognizant Microsoft Business Group,"Remote in Toronto, ON",,
477,Business Development Analyst (Paid Internship),Avesdo,"Remote in Toronto, ON",$16 an hour,4.3
478,Customer Service Analyst,Unilever,"Toronto, ON",,4.2
479,newBusiness Systems Analyst - Summer Student,City of Regina,"Regina, SK",$25.35 an hour,
480,newBusiness Systems Analyst - Summer Student,City of Regina,"Regina, SK",$25.35 an hour,
481,"Analyst, Business Intelligence",L3Harris Technologies,"Mirabel, QC",,3.7
482,"newAnalyst, Engineering V&V",General Dynamics Missions Systems-Canada,"Ottawa, ON",,3.8
483,newBusiness Analyst,Sportlogiq,"Remote in Montréal, QC","$60,000 - $110,000 a year",2.4
484,newBusiness Systems Analyst,Royal Bank of Canada,"Toronto, ON+1 location",,4.0
485,Business Analyst,Accenture,"Toronto, ON+3 locations",,4.0
486,newPolicy Analyst (Regional Parks),Metro Vancouver,"Burnaby, BC","$4,774 - $6,763 a month",3.8
487,Programmer Data Analyst-Mississauga-Officer/C11,Citi,"Mississauga, ON",,3.9
488,Remedy System Analyst,CGI Inc,Remote,,3.6
489,newBusiness Intelligence Analyst Co-op,Definity,"Remote in Waterloo, ON+1 location",,
490,Data Analyst,Genpact,"Temporarily Remote in Montréal, QC",,
491,"Procurement Operations Analyst - Brampton, ON","AMZN CAN Fulfillment Svcs, ULC","Brampton, ON+1 location",,3.5
492,newSenior Web Analyst,Bench Accounting,"Remote in Vancouver, BC","$88,480 - $110,600 a year",4.3
493,DA Receipt Quality Analyst,NielsenIQ,"Markham, ON",,
494,IT Business Analyst,Right to Play,"Toronto, ON","$67,000 - $73,000 a year",4.1
495,"Data Analyst, Business Intelligence (Toronto)",StackAdapt,Canada,,4.5
496,Sr. Business Analyst,Wipro Limited,"Toronto, ON",,3.8
497,newBusiness Analyst,Foxquilt,"Hybrid remote in Toronto, ON",,
498,Business Operations Analyst (BMT),Baylis Medical Technologies,"Hybrid remote in Mississauga, ON",,
499,Business Analyst,Active Exhaust Corp.,"Toronto, ON",,2.9
500,"Analyst, Data Solutions (Toronto)",StackAdapt,Canada,,4.5
501,newFire Policy & Procedure Analyst,City of Regina,"Regina, SK",$31.69 - $39.73 an hour,
502,Policy Analyst – Fisheries Sector,Assembly of First Nations,"Ottawa, ON",,2.8
503,IT Computer Systems Analyst 2022 - Remote,Canadian Musicians Co-operative,"Temporarily Remote in Barrie, ON",,4.3
504,newGIS Analyst,Brookfield Properties,"Remote in Calgary, AB",,3.7
505,HRIS Analyst,Aecon Group,"Toronto, ON",,4.0
506,"Analyst, Data Management",Spin Master Ltd,"Toronto, ON",,3.4
507,Strategy Analyst,Databook,"Remote in Toronto, ON",,
508,newSupport Desk Analyst - Tier 2,Gemstone Logistics,"Hybrid remote in Sherwood Park, AB","$50,000 - $65,000 a year",
509,"newBusiness Operations Analyst II, AWS Commerce Platform Busine...",Amazon Dev Centre Canada ULC,"Vancouver, BC+2 locations",,3.5
510,newBI Analyst (Montreal/Columbus/North America),Emplifi,"Remote in Montréal, QC",,
511,newBusiness Analyst,Cognizant Technology Solutions,"Mississauga, ON",,3.9
512,Lead Data Analyst,EDealer,"Toronto, ON",,2.5
513,"newInternal Control - Regulatory Controls, Regulatory Data Anal...",Scotiabank,"Toronto, ON",,3.9
514,newCustomer Supply Chain Analyst (Hybrid Work Model),The J. M. Smucker Company,"Hybrid remote in Markham, ON",,3.6
515,Senior Data Analyst,Electrical & Automation Industry Careers,"Toronto, ON",,
516,newResearch Analyst,BOMA Edmonton,"Edmonton, AB","$36,000 a year",
517,Media Analyst,Wavo,"Remote in Montréal, QC",,
518,"newAnalyst, BSC Logistics Materials",Anheuser-Busch,"Toronto, ON",,3.7
519,newBusiness Analyst,Queen's University,"Kingston, ON",,4.3
520,newValidation Analyst,AutoCanada Inc.,"Edmonton, AB",,3.2
521,newActuarial Analyst: Neurodiversity Hiring Initiative,Specialisterne Canada,"Toronto, ON",,
522,"Business Analyst, Strategic Projects",ecobee,"Remote in Toronto, ON",,2.9
523,Associate Business Analyst,Olympus Corporation of the Americas,"Richmond Hill, ON",,3.6
524,Data Analyst (3-6 Month Contract),Mircom Group of Companies,"Vaughan, ON",,3.1
525,"Business Analyst, Strategic Projects",ecobee,"Remote in Toronto, ON",,2.9
526,Associate Business Analyst,Olympus Corporation of the Americas,"Richmond Hill, ON",,3.6
527,Data Analyst (3-6 Month Contract),Mircom Group of Companies,"Vaughan, ON",,3.1
528,Digital Marketing Analyst,aha insurance,"Kitchener-Waterloo, ON",,
529,Business Analyst,CBI Health,"Toronto, ON",,2.8
530,newBusiness Systems Analyst,Mariner Innovations,"Saint John, NB+6 locations",,4.0
531,Digital Analyst (Remote),OTIP (Ontario Teachers Insurance Plan),"Remote in Waterloo, ON",,3.2
532,Data Analyst - Mobile QV,Electronic Arts,"Vancouver, BC",,3.8
533,Data Analyst,Mueller Water Products,"Toronto, ON",,2.9
534,Junior Pricing Analyst,Marks Supply Inc,"Kitchener, ON",,2.8
535,"Analyst, CRM Support & Operations (18-month contract)",Deloitte,Canada,,4.0
536,Sr Operational Ex Analyst,Honeywell,"Kanata, ON",,3.7
537,newSenior Data Analyst BHJOB13022_12127,Ignite Technical Resources.,Remote,,
538,"Business Analyst - ETL, Data",AstraNorth,"Temporarily Remote in Toronto, ON","$110,000 a year",
539,Data Analyst,LMC Healthcare,Remote,,2.9
540,Data Analyst,LMC Healthcare,Remote,,2.9
541,Sr. Business Analyst,CirrusLabs,"Hybrid remote in Oakville, ON",$50 an hour,
542,technical support analyst - systems,Valiantys Inc.,"Remote in Etobicoke, ON",$37.21 an hour,
543,Analyst - Reliability & Technical Support,Westjet Airlines,"Remote in Calgary, AB",,3.9
544,"newBusiness Analyst, Process Optimization",BGRS,Temporarily Remote,,3.4
545,"Sr. Data Analyst, Product Operations",Q4,Remote,,3.5
546,"newProcess Analyst, IT Asset Management",Bank of Canada,"Temporarily Remote in Ottawa, ON",,4.0
547,Systems Analyst - Enterprise Architecture,BMO Financial Group,"Toronto, ON",,3.8
548,newAccounts Receivable Cash Application Analyst,EMCO Corporation,"Temporarily Remote in London, ON",,3.3
549,Data Management/Data Analyst,Sanofi US,"Hybrid remote in Toronto, ON",,4.1
550,Business Support Analyst,BMO Financial Group,"Toronto, ON",,3.8
551,newWorkforce Analyst,Ontario Ministry of the Solicitor General,"Toronto, ON",,3.0
552,newSAP Master Data Analyst,SyLogix Consulting Inc.,"North York, ON",$70 - $95 an hour,
553,Senior Data Analyst,J.D. Power,"Remote in Toronto, ON",,
554,Data Analyst,"JELD-WEN, inc","Woodbridge, ON",,3.1
555,Data Analyst - Reporting,theScore Inc.,"Toronto, ON",,3.3
556,Business Analyst,Plan Group,"Vaughan, ON",,3.6
557,Data Analyst - Paradigm Quest,MCAP,"Toronto, ON",,3.5
558,Kronos Functional Analyst,Amazon Dev Centre Canada ULC,"Toronto, ON",,3.5
559,newWILDLIFE RESEARCH ANALYST,"Ministry of Northern Development, Mines, Natural...","Thunder Bay, ON","$1,270 - $1,568 a week",
560,Data Analyst,City of Edmonton,"Edmonton, AB",$38.71 - $48.36 an hour,3.7
561,newSr. Business Systems Analyst,TD Bank,"Toronto, ON+1 location",,3.8
562,newSAP Data Analyst,Cenovus Energy,"Lloydminster, SK",,3.7
563,"Sr. Data Analyst, MRM",MRM,"Toronto, ON",,
564,Financial & Data Analyst Fall 2022 Student,Royal Bank of Canada,"Toronto, ON",,4.0
565,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
566,newBusiness Analyst,Avenu Insights & Analytics,"Mississauga, ON",,
567,Risk Data Analyst,Equitable Life of Canada,"Waterloo, ON",,3.8
568,"Sr Data Analyst, Sports",Rogers Communications,"Temporarily Remote in Toronto, ON",,3.7
569,newTD Innovation Lab - Business Analyst Co-op,TD Bank,"Kitchener, ON",,3.8
570,Program Management Office (PMO) Analyst,APV,"Remote in Spanish, ON",,
571,newData Analyst and Report Writer,Toronto School of Management,"Toronto, ON",,4.0
572,Business Analyst,Clarius Mobile Health,"Remote in Vancouver, BC",,4.8
573,Security Data Analyst,eSentire,"Waterloo, ON+1 location",,3.9
574,Loyalty Data Analyst,Lululemon,"Vancouver, BC",,4.2
575,computer systems analyst,CIT Corp,"Concord, ON",$40 an hour,3.8
576,newSTO 21R - GIS Analyst,BC Public Service,"Campbell River, BC+1 location",,3.4
577,"newLead Business Analyst, Technology & Data Delivery",CPP Investments,"Toronto, ON",,
578,Data Analyst,LeddarTech - Envision the road ahead!,"Quebec City, QC+1 location",,4.0
579,newDNA PRODUCT LINE ANALYST,Johnson & Johnson,"Toronto, ON",,4.2
580,newHR Systems and Business Analyst (Vancouver - Remote),Providence Health Care,Remote in British Columbia,,
581,database analyst,Delbridge Solutions Inc.,"Remote in Concord, ON","$62,800 a year",4.0
582,Data Governance Analyst,Dapper Labs,Remote,,
583,"Analyst, Economic Advisory",EY,"Toronto, ON",,4.0
584,newQuality Assurance Analyst,The Cadillac Fairview Corporation Limited,"Toronto, ON",,3.7
585,"Data Analyst, Product Management",Geotab,"Remote in Oakville, ON",,2.7
586,Innovation Analyst (Up to 24 Months) - J0422-0885,The City of Kingston,"Kingston, ON",$34.05 - $42.56 an hour,3.1
587,newCustomer Supply Chain Analyst,coty,"Toronto, ON",,
588,Data Analyst,Stewart Title Guaranty Company,"Toronto, ON",,3.3
589,Business and Reporting Analyst,Canadian Tire Corporation,"Toronto, ON",,3.6
590,newSenior Legislative and Policy Analyst,Manitoba Government,"Winnipeg, MB","$65,288 - $82,064 a year",3.7
591,newBusiness Intelligence Analyst,Foss National Leasing Ltd.,"Markham, ON",,
592,Business System Analyst,Auvenir,"Toronto, ON",,3.7
593,newDigital Marketing Analyst,Trulioo,"Vancouver, BC",,4.0
594,Business Analyst,Simon Fraser University,"Burnaby, BC","$69,903 - $83,473 a year",4.2
595,newInventory Control Analyst,THE SHANDEX GROUP,"Pickering, ON","$40,000 - $45,000 a year",3.6
596,newBusiness Intelligence Analyst,OSL Retail Services Inc,"Mississauga, ON",,2.9
597,Settlements Analyst,Peak Power,"Toronto, ON",,
598,data warehouse analyst,VISAY TECHNOLOGIES INC,"Edmonton, AB",$42.05 an hour,
599,Senior Data/Report Analyst,Government of Saskatchewan,"Regina, SK",$42.52 - $51.74 an hour,3.8
600,Settlements Analyst,Peak Power,"Toronto, ON",,
601,data warehouse analyst,VISAY TECHNOLOGIES INC,"Edmonton, AB",$42.05 an hour,
602,Senior Data/Report Analyst,Government of Saskatchewan,"Regina, SK",$42.52 - $51.74 an hour,3.8
603,Data Analyst,Woodlands Head Office,"Saint John, NB",,2.7
604,marketing analyst,Grewal Immigration Services Ltd.,"Edmonton, AB","$1,443 a week",
605,"Analyst, Client Data Analytics",Royal Bank of Canada,"Halifax, NS",,4.0
606,Business Insights Analyst,TD Bank,"Toronto, ON",,3.8
607,Business Analyst,McDougall Energy Inc.,"Sault Ste. Marie, ON+1 location",,2.7
608,Routing & Scheduling Analyst,City of Regina,"Regina, SK",$36.71 - $45.90 an hour,
609,Research Analyst – Land and Development,Avison Young Canada,"Markham, ON",,
610,newPower BI Developer,PlanIT Search,"Toronto, ON","$80,000 - $103,000 a year",2.0
611,newSupply Chain Data Analyst,ATS Automation Tooling Systems Inc.,"Cambridge, ON",,3.1
612,analyst - market research,"Paradigm Sample Holdings Canada,ULC","Toronto, ON",$37 an hour,
613,BUSINESS ANALYST,EPC Industries Limited,"Amherst, NS",,
614,"newANALYST, INTERNATIONAL STUDENT SERVICES",Universite Concordia,"Montréal, QC","$69,064 - $82,479 a year",4.1
615,newBusiness Systems Analysts for BI Projects,Copperstone Connect,"Toronto, ON",,
616,Pricing Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
617,Supply Chain Analyst,Atrium Innovations,"Richmond Hill, ON",,3.3
618,business intelligence analyst,Labour Market Information Council / Conseil de...,"Ottawa, ON","$67,000 - $77,000 a year",
619,Customer Experience Analyst,CWD (Circus World Displays),"Niagara Falls, ON",,3.3
620,Senior Data Analyst,Kognitiv Corporation,"Toronto, ON",,
621,"Coordinator/Analyst, Citizenship Operations",Royal Bank of Canada,"Toronto, ON",,4.0
622,Master Data Mgmt Analyst,Husky Injection Molding,"Bolton, ON",,3.7
623,"Data Analyst, Inventory Partnerships (Toronto)",StackAdapt,Canada,,4.5
624,Business Analyst,NCM Associates,"Moncton, NB",,
625,newSenior AML Advisory Analyst,TD Bank,"Toronto, ON",,3.8
626,DEVELOPER / DATA ANALYST,AXIS Database Marketing,"Mississauga, ON",,
627,"Business Data Analyst, Investment Analytics",OMERS,"Toronto, ON",,3.4
628,"Sr. Data Analyst, MRM",Worldgroup Careers MWT,"Toronto, ON",,4.0
629,Project Analyst II,TD Bank,"Toronto, ON",,3.8
630,newIT (information technology) business analyst,Clovda Technologies,"Calgary, AB",$48.72 an hour,
631,Quantitative Analyst,ARGO,"Markham, ON",,
632,Technical Business Analyst,Myplanet,"Remote in Toronto, ON",,4.5
633,Business Analyst I - TELUS Health,TELUS,"Toronto, ON",,3.9
634,newIT Technology Support Analyst I,LaSalle College Vancouver,"Vancouver, BC","$40,000 - $50,000 a year",4.3
635,newSenior Data Analyst,Hitachi Solutions Ltd,"Toronto, ON",,3.8
636,Data Analyst,SYNNEX Corporation,"Toronto, ON",,3.5
637,Business System Analyst,Aversan,"Vaughan, ON",,3.2
638,Data Analyst // Analyste(e) des données,Triton Digital Canada Inc.,"Toronto, ON+1 location",,
639,Data Analyst,McCain Foods (Canada),"Florenceville-Bristol, NB",,3.6
640,Business Intelligence Developer,PRA Health Sciences,Remote,,3.5
641,Data and Reporting Analyst,Vermilion Energy,"Calgary, AB",,3.5
642,newBusiness Analyst,Dawn InfoTek Inc.,"Kingston, ON+1 location",$80 - $100 an hour,
643,newSenior QA Analyst,Geotab,"Remote in Waterloo, ON",,2.7
644,"BI Analyst, Data Operations",Compass Group,"Mississauga, ON",,3.2
645,"Analyst, Data & Analytics Access Mgmt.",BMO Financial Group,"Toronto, ON",,3.8
646,newNews and Media Analyst,University of Alberta,"Edmonton, AB","$62,321 - $85,429 a year",4.3
647,"Business Analyst, Sustainability",Canadian Tire Corporation,"Toronto, ON",,3.6
648,Technical Business Analyst,Scotiabank,"Toronto, ON",,3.9
649,newBusiness Analyst Co-op [Ecosystem],CaseWare IDEA,Ontario,,
650,Business analyst,Unisys,"Halifax, NS",,3.6
651,Senior Business Analyst,BMO Financial Group,"Toronto, ON",,3.8
652,Senior Business Analyst- Digital Services Team,Regional Municipality of Peel,"Remote in Brampton, ON","$84,335 - $105,417 a year",4.2
653,Business Analyst - IT / Operations,Canada Guaranty,"Toronto, ON",,
654,Data Analyst,HKJ Marketing,"Richmond, BC",,
655,Observer Analyst,Cubic Corporation,"Gagetown, NB+1 location",,3.7
656,"Data Analyst Intern, HR",The North West Company,"Winnipeg, MB",,3.9
657,marketing analyst,Dr. Kiarash Gharabaghi Dentistry Professional...,"Woodbridge, ON",$36 an hour,
658,Inventory Analyst,Rogers Communications,"Temporarily Remote in Toronto, ON",,3.7
659,iGAMING ANALYST,Niagara Casinos,"Niagara Falls, ON",,3.8
660,Business Analyst,Motoinsight,"Toronto, ON",,4.5
661,Sr Business Systems Analyst,Canada Life Assurance Company,"London, ON",,3.7
662,Senior Business Analyst,Government of Saskatchewan,"Regina, SK",$37.43 - $46.91 an hour,3.8
663,"newBusiness Analyst, Technology",Hasbro,"Toronto, ON",,4.1
664,"newGBP Analyst, Strategic Pricing - Fall 2022 Internship",Scotiabank,"Toronto, ON",,3.9
665,newSENIOR BUSINESS ANALYST-DECISION SUPPORT,St. Mary’s General Hospital,"Kitchener, ON",$41.63 - $52.70 an hour,4.3
666,Marketing Analyst,Canadian Tire Corporation,"Vaughan, ON",,3.6
667,Cloud Business Analyst,BMO Financial Group,"Toronto, ON",,3.8
668,Sr. Business Data Analyst,Canadian Tire Financial Services,"Oakville, ON",,3.6
669,newBI Specialist,TD Bank,"Toronto, ON+1 location",,3.8
670,Quality Assurance Analyst - Data,CPQi,"Toronto, ON",,
671,"newManager, Business Intelligence",Royal Bank of Canada,"Toronto, ON",,4.0
672,Data Analyst,Virtusa,"Halifax, NS",,3.7
673,Business Intelligence Analyst,Ferris Wheel Press,"Markham, ON","$44,000 - $55,000 a year",
674,Associate Analyst 3 - Toronto,ZM Financial Systems,"Toronto, ON",,
675,"newManager, Business Intelligence",Royal Bank of Canada,"Toronto, ON",,4.0
676,Data Analyst,Virtusa,"Halifax, NS",,3.7
677,Business Intelligence Analyst,Ferris Wheel Press,"Markham, ON","$44,000 - $55,000 a year",
678,Associate Analyst 3 - Toronto,ZM Financial Systems,"Toronto, ON",,
679,Business Analyst with Sentry experience,Luxoft,Remote,,
680,"Functional Analyst, BI & Analytics",TransLink,"Metro Vancouver Regional District, BC","$7,044 a month",3.7
681,Marketing Science Analyst,Critical Mass,"Remote in Calgary, AB",,3.6
